Date,#1878,#3349,#4628,#4684,#4922,#6146,#6273,#6367,#6861,#6954,#7309,#7453,#7717,#7974,#8035,#9022,9435,9605,9843,9983
12/6/2021,12720,17390,,20050,13560,32750,74000,25500,70690,23255,31770,1750,3460,50640,60060,15705,17450,18750,18350,67810
12/7/2021,13010,17800,,20870,13920,33000,76120,25860,71950,23545,31680,1842,3550,51560,61190,16220,18250,19440,18430,67860
12/8/2021,12960,17810,,20820,13790,32750,76960,26365,73050,24500,32140,1863,3570,53380,62910,16105,18170,19240,18520,68750
12/9/2021,13040,17700,37950,21000,14040,33100,76080,26320,72300,24050,32290,1850,3515,53620,62630,16075,18180,18870,18815,68630
12/10/2021,12970,17740,,20870,13970,33050,76120,26470,72370,24030,31640,1820,3500,53800,61840,16045,17770,18350,18520,68000
12/13/2021,12940,17210,38500,21350,14030,33100,77040,26910,72950,24240,32100,1828,3445,53620,62690,15955,17840,18360,18325,69760
12/14/2021,12990,17380,38050,21370,13880,32600,76210,26575,72750,24000,31980,1815,3400,53310,61540,15735,17810,17930,18135,67860
12/15/2021,12990,17600,38000,21650,13420,32700,76470,26350,72240,24160,32490,1825,3400,53400,61370,15915,17690,18220,18445,66960
12/16/2021,13070,17630,37550,21990,13460,33250,76870,27000,74040,24725,33250,1833,3475,54400,63280,16180,18200,18210,18690,68970
12/17/2021,13260,17610,37350,21440,13050,33050,76750,26300,72390,24255,32180,1774,3450,52930,61270,15940,18030,18190,18725,68060
12/20/2021,13050,17540,37650,21130,13270,32900,75120,25035,71580,23535,32030,1750,3335,53510,59600,15545,17600,17550,18255,66560
12/21/2021,13100,17540,37250,21290,13390,34100,76330,25320,73040,24175,32110,1775,3410,55500,62220,15595,17930,17760,18555,68350
12/22/2021,13020,16980,37350,21560,13420,34150,75500,25325,73420,23960,31930,1771,3410,54580,62680,15530,17940,17260,18465,68300
12/23/2021,13100,17050,37900,21560,13340,34350,76380,25585,74500,24045,31940,1776,3500,55400,63500,15695,17840,17470,18380,68200
12/24/2021,12970,16740,37900,21260,13240,34700,77170,25840,74090,24155,31680,1756,3525,55430,64260,15490,17790,17050,18150,67540
