Date,SecuritiesCode,Close
2021-12-06,1878,12720
2021-12-06,3349,17390
2021-12-06,4684,20050
2021-12-06,4922,13560
2021-12-06,6146,32750
2021-12-06,6273,74000
2021-12-06,6367,25500
2021-12-06,6861,70690
2021-12-06,6954,23255
2021-12-06,7309,31770
2021-12-06,7453,1750
2021-12-06,7717,3460
2021-12-06,7974,50640
2021-12-06,8035,60060
2021-12-06,9022,15705
2021-12-06,9435,17450
2021-12-06,9605,18750
2021-12-06,9843,18350
2021-12-06,9983,67810
2021-12-07,1878,13010
2021-12-07,3349,17800
2021-12-07,4684,20870
2021-12-07,4922,13920
2021-12-07,6146,33000
2021-12-07,6273,76120
2021-12-07,6367,25860
2021-12-07,6861,71950
2021-12-07,6954,23545
2021-12-07,7309,31680
2021-12-07,7453,1842
2021-12-07,7717,3550
2021-12-07,7974,51560
2021-12-07,8035,61190
2021-12-07,9022,16220
2021-12-07,9435,18250
2021-12-07,9605,19440
2021-12-07,9843,18430
2021-12-07,9983,67860
2021-12-08,1878,12960
2021-12-08,3349,17810
2021-12-08,4684,20820
2021-12-08,4922,13790
2021-12-08,6146,32750
2021-12-08,6273,76960
2021-12-08,6367,26365
2021-12-08,6861,73050
2021-12-08,6954,24500
2021-12-08,7309,32140
2021-12-08,7453,1863
2021-12-08,7717,3570
2021-12-08,7974,53380
2021-12-08,8035,62910
2021-12-08,9022,16105
2021-12-08,9435,18170
2021-12-08,9605,19240
2021-12-08,9843,18520
2021-12-08,9983,68750
2021-12-09,1878,13040
2021-12-09,3349,17700
2021-12-09,4628,37950.0
2021-12-09,4684,21000
2021-12-09,4922,14040
2021-12-09,6146,33100
2021-12-09,6273,76080
2021-12-09,6367,26320
2021-12-09,6861,72300
2021-12-09,6954,24050
2021-12-09,7309,32290
2021-12-09,7453,1850
2021-12-09,7717,3515
2021-12-09,7974,53620
2021-12-09,8035,62630
2021-12-09,9022,16075
2021-12-09,9435,18180
2021-12-09,9605,18870
2021-12-09,9843,18815
2021-12-09,9983,68630
2021-12-10,1878,12970
2021-12-10,3349,17740
2021-12-10,4684,20870
2021-12-10,4922,13970
2021-12-10,6146,33050
2021-12-10,6273,76120
2021-12-10,6367,26470
2021-12-10,6861,72370
2021-12-10,6954,24030
2021-12-10,7309,31640
2021-12-10,7453,1820
2021-12-10,7717,3500
2021-12-10,7974,53800
2021-12-10,8035,61840
2021-12-10,9022,16045
2021-12-10,9435,17770
2021-12-10,9605,18350
2021-12-10,9843,18520
2021-12-10,9983,68000
2021-12-13,1878,12940
2021-12-13,3349,17210
2021-12-13,4628,38500.0
2021-12-13,4684,21350
2021-12-13,4922,14030
2021-12-13,6146,33100
2021-12-13,6273,77040
2021-12-13,6367,26910
2021-12-13,6861,72950
2021-12-13,6954,24240
2021-12-13,7309,32100
2021-12-13,7453,1828
2021-12-13,7717,3445
2021-12-13,7974,53620
2021-12-13,8035,62690
2021-12-13,9022,15955
2021-12-13,9435,17840
2021-12-13,9605,18360
2021-12-13,9843,18325
2021-12-13,9983,69760
2021-12-14,1878,12990
2021-12-14,3349,17380
2021-12-14,4628,38050.0
2021-12-14,4684,21370
2021-12-14,4922,13880
2021-12-14,6146,32600
2021-12-14,6273,76210
2021-12-14,6367,26575
2021-12-14,6861,72750
2021-12-14,6954,24000
2021-12-14,7309,31980
2021-12-14,7453,1815
2021-12-14,7717,3400
2021-12-14,7974,53310
2021-12-14,8035,61540
2021-12-14,9022,15735
2021-12-14,9435,17810
2021-12-14,9605,17930
2021-12-14,9843,18135
2021-12-14,9983,67860
2021-12-15,1878,12990
2021-12-15,3349,17600
2021-12-15,4628,38000.0
2021-12-15,4684,21650
2021-12-15,4922,13420
2021-12-15,6146,32700
2021-12-15,6273,76470
2021-12-15,6367,26350
2021-12-15,6861,72240
2021-12-15,6954,24160
2021-12-15,7309,32490
2021-12-15,7453,1825
2021-12-15,7717,3400
2021-12-15,7974,53400
2021-12-15,8035,61370
2021-12-15,9022,15915
2021-12-15,9435,17690
2021-12-15,9605,18220
2021-12-15,9843,18445
2021-12-15,9983,66960
2021-12-16,1878,13070
2021-12-16,3349,17630
2021-12-16,4628,37550.0
2021-12-16,4684,21990
2021-12-16,4922,13460
2021-12-16,6146,33250
2021-12-16,6273,76870
2021-12-16,6367,27000
2021-12-16,6861,74040
2021-12-16,6954,24725
2021-12-16,7309,33250
2021-12-16,7453,1833
2021-12-16,7717,3475
2021-12-16,7974,54400
2021-12-16,8035,63280
2021-12-16,9022,16180
2021-12-16,9435,18200
2021-12-16,9605,18210
2021-12-16,9843,18690
2021-12-16,9983,68970
2021-12-17,1878,13260
2021-12-17,3349,17610
2021-12-17,4628,37350.0
2021-12-17,4684,21440
2021-12-17,4922,13050
2021-12-17,6146,33050
2021-12-17,6273,76750
2021-12-17,6367,26300
2021-12-17,6861,72390
