Date,#3349,#4051,#4488,#4628,#4661,#4684,#5217,#6146,#6273,#6532,#6806,#6861,#6954,#7309,#7974,#8035,#9022,#9435,#9843,#9983
12/6/2021,17390,28690,7700,,17670,20050,,32750,74000,46600,18930,,,,,,,,,67810
12/7/2021,17800,30250,7610,,18195,20870,35900,33000,76120,49300,19340,,,,,,,,,67860
12/8/2021,17810,30750,7560,,18685,20820,,32750,76960,50000,19650,,,,,,,,,68750
12/9/2021,17700,30950,7530,37950,18860,21000,35800,33100,76080,50100,19550,,,,,,,,,68630
12/10/2021,17740,30400,7370,,18825,20870,35000,33050,76120,48650,19450,,,,,,,,,68000
12/13/2021,17210,30450,6870,38500,18890,21350,35600,33100,77040,48500,19760,,,,,,,,,69760
12/14/2021,17380,29950,6590,38050,18645,21370,,32600,76210,46700,19810,,,,,,,,,67860
12/15/2021,17600,30150,6630,38000,19090,21650,35800,32700,76470,46700,19830,,,,,,,,,66960
12/16/2021,17630,30050,6520,37550,20455,21990,35900,33250,76870,46900,20050,,,,,,,,,68970
12/17/2021,17610,28210,6260,37350,19555,21440,,33050,76750,44800,19490,,,,,,,,,68060
12/20/2021,17540,26460,6100,37650,19260,21130,35800,32900,75120,44000,19070,,,,,,,,,66560
12/21/2021,17540,27330,6140,37250,19650,21290,35800,34100,76330,44500,19500,,,,,,,,,68350
12/22/2021,16980,27920,6400,37350,19440,21560,,34150,75500,44200,19400,,,,,,,,,68300
12/23/2021,17050,28290,6230,37900,19660,21560,35450,34350,76380,44600,19380,,,,,,,,,68200
12/24/2021,16740,28730,6370,37900,19480,21260,35650,34700,77170,45100,19420,,,,,,,,,67540
12/27/2021,16610,28100,6120,37750,19575,21310,35800,34800,76570,44650,19450,,,,,,,,,66360
12/28/2021,16940,28100,6200,37650,19850,21830,38000,35150,77660,45350,19820,,,,,,,,,66140
12/29/2021,17100,27870,6260,38000,19655,21730,37400,35150,77000,45600,19650,,,,,,,,,65670
12/30/2021,16930,28050,5960,37800,19395,21600,38800,35150,77590,44500,19340,,,,,,,,,65310
1/4/2022,17170,27800,5850,37900,19190,22030,39000,36000,79080,44600,19570,,,,,,,,,64840
1/5/2022,16750,26380,5470,39200,18940,21810,40100,35400,79010,41400,19440,,,,,,,,,64010
1/6/2022,16700,24500,5300,38900,18005,20560,,34550,76810,39100,18790,,,,,,,,,60880
1/7/2022,16390,23510,5280,38950,17830,19820,40700,35350,75580,38000,18320,,,,,,,,,60670
