Date,StartDate,EndDate,Section,TotalSales,TotalPurchases,TotalTotal,TotalBalance,ProprietarySales,ProprietaryPurchases,ProprietaryTotal,ProprietaryBalance,BrokerageSales,BrokeragePurchases,BrokerageTotal,BrokerageBalance,IndividualsSales,IndividualsPurchases,IndividualsTotal,IndividualsBalance,ForeignersSales,ForeignersPurchases,ForeignersTotal,ForeignersBalance,SecuritiesCosSales,SecuritiesCosPurchases,SecuritiesCosTotal,SecuritiesCosBalance,InvestmentTrustsSales,InvestmentTrustsPurchases,InvestmentTrustsTotal,InvestmentTrustsBalance,BusinessCosSales,BusinessCosPurchases,BusinessCosTotal,BusinessCosBalance,OtherInstitutionsSales,OtherInstitutionsPurchases,OtherInstitutionsTotal,OtherInstitutionsBalance,InsuranceCosSales,InsuranceCosPurchases,InsuranceCosTotal,InsuranceCosBalance,CityBKsRegionalBKsEtcSales,CityBKsRegionalBKsEtcPurchase,CityBKsRegionalBKsEtcTotal,CityBKsRegionalBKsEtcBalance,TrustBanksSales,TrustBanksPurchases,TrustBanksTotal,TrustBanksBalance,OtherFinancialInstitutionsSales,OtherFinancialInstitutionsPurchases,OtherFinancialInstitutionsTotal,OtherFinancialInstitutionsBalance
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,2017-01-04,2017-01-06,Growth Market (Mothers/JASDAQ),459207445.0,459326307.0,918533752.0,118862.0,16057470.0,12822671.0,28880141.0,-3234799.0,443149975.0,446503636.0,889653611.0,3353661.0,304344371.0,300434376.0,604778747.0,-3909995.0,113911238.0,120011022.0,233922260.0,6099784.0,12051018.0,11241249.0,23292267.0,-809769.0,1905221.0,3173359.0,5078580.0,1268138.0,4961900.0,4859492.0,9821392.0,-102408.0,1114202.0,832400.0,1946602.0,-281802.0,21175.0,4342.0,25517.0,-16833.0,61277.0,38601.0,99878.0,-22676.0,4758211.0,5797986.0,10556197.0,1039775.0,21362.0,110809.0,132171.0,89447.0
2017-01-13,2017-01-04,2017-01-06,Prime Market (First Section),8476800009.0,8483346362.0,16960146371.0,6546353.0,1311271004.0,1453326508.0,2764597512.0,142055504.0,7165529005.0,7030019854.0,14195548859.0,-135509151.0,1401711615.0,1161801155.0,2563512770.0,-239910460.0,5094891735.0,5317151774.0,10412043509.0,222260039.0,76381455.0,61700100.0,138081555.0,-14681355.0,168705109.0,124389642.0,293094751.0,-44315467.0,71217959.0,63526641.0,134744600.0,-7691318.0,10745152.0,15687836.0,26432988.0,4942684.0,15926202.0,9831555.0,25757757.0,-6094647.0,10606789.0,8843871.0,19450660.0,-1762918.0,292932297.0,245322795.0,538255092.0,-47609502.0,22410692.0,21764485.0,44175177.0,-646207.0
2017-01-13,2017-01-04,2017-01-06,Standard Market (Second Section),222354859.0,221770706.0,444125565.0,-584153.0,13093607.0,6535935.0,19629542.0,-6557672.0,209261252.0,215234771.0,424496023.0,5973519.0,122482503.0,123956758.0,246439261.0,1474255.0,76239188.0,80472016.0,156711204.0,4232828.0,6051426.0,5778242.0,11829668.0,-273184.0,600795.0,694595.0,1295390.0,93800.0,2139840.0,1980229.0,4120069.0,-159611.0,314555.0,494071.0,808626.0,179516.0,19636.0,12986.0,32622.0,-6650.0,36866.0,2301.0,39167.0,-34565.0,1328241.0,1807118.0,3135359.0,478877.0,48202.0,36455.0,84657.0,-11747.0
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-19,2017-01-10,2017-01-13,Growth Market (Mothers/JASDAQ),537572015.0,537411562.0,1074983577.0,-160453.0,16330717.0,12932601.0,29263318.0,-3398116.0,521241298.0,524478961.0,1045720259.0,3237663.0,355060602.0,362177683.0,717238285.0,7117081.0,140224037.0,134573321.0,274797358.0,-5650716.0,13354726.0,13232976.0,26587702.0,-121750.0,2686860.0,3785961.0,6472821.0,1099101.0,5431236.0,5583704.0,11014940.0,152468.0,1096728.0,1084813.0,2181541.0,-11915.0,38530.0,122166.0,160696.0,83636.0,54324.0,79399.0,133723.0,25075.0,3217637.0,3798890.0,7016527.0,581253.0,76618.0,40048.0,116666.0,-36570.0
2017-01-19,2017-01-10,2017-01-13,Prime Market (First Section),10429928846.0,10429073845.0,20859002691.0,-855001.0,1759899740.0,1716386752.0,3476286492.0,-43512988.0,8670029106.0,8712687093.0,17382716199.0,42657987.0,1562986105.0,1560324343.0,3123310448.0,-2661762.0,6361553017.0,6480220568.0,12841773585.0,118667551.0,86969178.0,80756263.0,167725441.0,-6212915.0,225185589.0,167434689.0,392620278.0,-57750900.0,85102476.0,93213748.0,178316224.0,8111272.0,14017378.0,27600058.0,41617436.0,13582680.0,8648760.0,13681894.0,22330654.0,5033134.0,25559282.0,13257445.0,38816727.0,-12301837.0,287358366.0,261144614.0,548502980.0,-26213752.0,12648955.0,15053471.0,27702426.0,2404516.0
2017-01-19,2017-01-10,2017-01-13,Standard Market (Second Section),164326105.0,163476473.0,327802578.0,-849632.0,5463672.0,5722762.0,11186434.0,259090.0,158862433.0,157753711.0,316616144.0,-1108722.0,94887309.0,97061799.0,191949108.0,2174490.0,53874040.0,51052117.0,104926157.0,-2821923.0,4679167.0,5300181.0,9979348.0,621014.0,1170213.0,1242362.0,2412575.0,72149.0,3077633.0,1606295.0,4683928.0,-1471338.0,194240.0,425663.0,619903.0,231423.0,56826.0,18271.0,75097.0,-38555.0,12938.0,22336.0,35274.0,9398.0,845638.0,894044.0,1739682.0,48406.0,64429.0,130643.0,195072.0,66214.0
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
